q1,q2,q3,q4,q5,q6,q7,x,y,z
-34,-82,85,84,-76,16,-20,0.367,0.138,0.663
-53,33,109,103,168,-44,-89,-0.235,-0.537,-0.087
47,-120,133,7,111,-64,-165,0.29,-0.484,0.91
-141,24,105,57,-103,27,122,0.514,0.346,0.707
41,-18,124,-1,-164,-30,-169,-0.491,-0.17,0.996
-89,-86,10,118,-31,-49,-47,0.013,-0.777,-0.14
-5,6,151,-3,145,101,-141,0.493,-0.033,0.24
-96,-81,8,82,141,-64,-49,0.224,-0.689,0.888
-98,-42,-11,140,35,119,104,-0.464,0.136,-0.373
-20,-7,-167,39,-8,42,-15,-0.363,0.509,0.43
-97,-111,64,97,-118,-78,25,-0.241,0.328,0.102
-82,-38,130,34,-98,78,-134,-0.09,-0.208,0.306
-49,7,-56,116,174,-40,-29,0.102,0.297,0.144
-38,-69,-57,118,27,28,-154,0.113,0.155,0.834
-26,46,-74,65,123,54,-157,0.286,-0.134,0.023
3,19,45,132,-9,-88,-108,-0.271,-0.038,1.271
-121,3,-167,143,-98,47,68,-0.47,0.03,0.175
14,15,135,53,28,91,160,0.012,0.241,0.304
-26,37,144,142,-125,-58,-117,-0.49,-0.22,0.372
-108,-80,154,34,73,-39,41,0.366,0.009,0.395
-59,-31,-32,17,76,-15,-129,-0.139,0.17,0.798
-137,39,39,76,-108,-22,140,0.436,0.513,0.507
3,-118,-98,96,88,-9,43,-0.689,0.018,0.384
-123,-72,150,1,132,30,-103,0.551,0.626,0.002
-17,-24,144,44,-82,87,48,-0.119,0.805,0.832
-49,-109,-35,130,121,70,10,-0.105,-0.351,0.641
-19,-100,-41,101,-4,119,-127,0.246,0.142,1.243
-123,-61,-16,34,-138,54,158,-0.603,0.226,0.178
29,-110,96,97,98,-7,-110,0.367,0.039,0.096
17,-3,-69,116,54,67,23,-0.014,0.026,0.375
-60,-41,-94,-1,-131,-68,68,-0.281,0.721,-0.196
-128,-45,-12,93,-13,-71,83,-0.256,0.374,0.437
-45,-14,46,99,-134,40,32,0.002,0.104,0.639
38,10,-119,40,-28,-9,144,-0.228,-0.029,0.273
-100,39,43,26,68,52,-8,0.636,-0.164,0.784
-24,55,130,73,2,42,163,-0.243,-0.444,0.115
-93,-113,3,130,-106,44,88,-0.037,0.679,0.528
-133,41,119,110,-78,-6,-49,-0.195,-0.341,0.687
-38,-62,-83,137,-7,64,59,0.452,0.019,1.029
39,16,-19,141,144,109,-127,0.536,-0.091,0.374
-54,-99,95,54,-143,-90,164,0.031,0.605,0.411
-67,-30,-105,126,-80,53,8,-0.468,0.46,0.487
12,-100,-112,72,-137,100,-105,0.416,-0.498,0.095
-34,-3,-103,62,-111,45,22,0.126,0.585,-0.226
16,-7,20,23,140,3,118,0.111,0.317,0.566
-77,46,89,103,-82,-26,-15,-0.151,-0.101,-0.387
-23,-35,118,148,1,24,32,-0.219,0.598,0.441
-102,-111,154,29,-1,-40,-132,0.184,-0.243,0.185
-77,-110,-83,20,123,74,-161,-0.692,0.085,0.474
-34,-17,117,107,91,100,121,-1.024,-0.004,0.535
10,-59,-89,101,-12,-51,108,-0.095,0.914,0.022
50,-54,19,45,30,76,-154,-0.229,-0.776,-0.21
26,43,150,42,88,114,119,-0.304,-0.572,0.177
-70,-71,159,3,-140,34,2,-0.138,0.416,0.148
-52,26,90,116,19,-86,110,-0.187,-0.452,0.144
21,-34,21,26,-147,70,-125,0.62,-0.034,-0.437
24,-120,-104,11,-27,99,129,0.054,-0.283,0.768
-56,21,-48,90,-45,82,-66,0.296,0.541,-0.226
14,-87,75,68,-175,67,42,0.308,0.282,0.846
-66,-96,115,84,-86,44,-21,0.351,-0.524,0.197
-139,-27,-59,100,103,-49,-97,-0.61,0.373,0.497
-35,53,74,94,-23,-26,94,-0.107,0.912,-0.122
-111,28,-129,127,-23,-9,-64,-0.197,0.397,0.048
-134,40,90,9,-175,-5,-131,0.15,0.019,-0.014
-66,-59,-12,23,62,89,2,0.019,0.679,0.442
-107,-122,141,27,121,105,93,-0.116,0.056,-0.297
-33,-72,-15,35,-30,22,-100,-0.134,0.111,-0.105
-130,-67,-109,104,174,70,116,-0.484,0.402,0.426
34,44,-91,69,-91,104,-130,0.107,0.208,0.856
-129,-27,32,60,126,79,78,0.3,0.236,0.577
-96,14,-106,20,133,-24,12,-0.139,-0.719,-0.155
-100,10,61,100,-47,-18,88,-0.203,-0.509,-0.359
30,1,-63,49,-175,15,-123,0.052,-0.579,0.752
-5,-11,118,136,-21,-23,70,0.036,0.144,0.65
-42,-25,-25,79,-97,-26,119,0.419,-0.051,0.351
33,-105,75,52,135,109,64,0.492,0.335,-0.078
-77,-29,-63,145,-72,-82,-19,-0.825,-0.27,-0.265
-1,-24,-109,104,21,38,-124,0.385,0.228,0.424
-87,-94,61,129,106,105,-59,-0.038,-0.295,0.385
-105,-60,107,39,-74,94,54,0.738,-0.203,-0.178
4,17,90,-3,43,8,-42,0.423,0.237,0.524
-4,-74,76,115,-92,-90,-123,0.118,0.382,0.033
-5,-43,-129,29,-132,-66,158,-0.007,0.555,0.47
24,-2,-145,29,-139,39,-61,-0.541,-0.293,0.032
-23,-51,18,142,-6,38,4,0.383,-0.225,0.028
23,-30,-1,124,11,-17,-6,-0.194,-0.233,0.813
-110,-31,46,109,95,-38,114,-0.445,-0.61,0.435
6,-22,0,17,65,-75,-20,0.447,-0.517,0.342
1,43,106,50,-41,23,-136,-0.113,-0.298,0.926
-19,51,53,18,68,-24,-125,0.804,-0.107,0.733
-63,-113,153,13,50,84,-148,0.255,0.319,0.84
14,19,144,14,-59,6,-11,0.614,0.496,0.715
4,39,-101,142,57,-73,-12,-0.264,-0.23,0.733
34,38,110,28,63,-37,96,-0.314,-0.388,0.259
5,-2,-73,128,-57,-58,62,-0.026,0.338,-0.286
-140,14,72,22,80,-67,-42,0.195,-0.587,0.366
13,-50,-167,110,53,-59,-104,0.263,0.135,0.339
-57,-71,-83,54,129,-49,69,0.123,-0.342,0.006
-27,-81,-145,85,14,-26,169,-0.331,0.301,0.618
-76,-74,6,27,33,-74,-3,-0.125,-0.485,-0.049
-12,-75,-94,102,136,-5,-113,0.724,0.229,0.817
